Fuel,CO2_Default,CO2_Lower,CO2_Upper,CH4_Default,CH4_Lower,CH4_Upper,N2O_Default,N2O_Lower,N2O_Upper
Crude Oil,73300,71100,75500,3,1.0,10,0.6,0.2,2.0
Orimulsion,77000,69300,85400,3,1.0,10,0.6,0.2,2.0
Natural Gas Liquids,64200,58300,70400,3,1.0,10,0.6,0.2,2.0
Motor Gasoline,69300,67500,73000,3,1.0,10,0.6,0.2,2.0
Aviation Gasoline,70000,67500,73000,3,1.0,10,0.6,0.2,2.0
Jet Gasoline,70000,67500,73000,3,1.0,10,0.6,0.2,2.0
Jet Kerosene,71500,69700,74400,3,1.0,10,0.6,0.2,2.0
Other Kerosene,71900,70800,73700,3,1.0,10,0.6,0.2,2.0
Shale Oil,73300,67800,79200,3,1.0,10,0.6,0.2,2.0
Gas/Diesel Oil,74100,72600,74800,3,1.0,10,0.6,0.2,2.0
Residual Fuel Oil,77400,75500,78800,3,1.0,10,0.6,0.2,2.0
Liquefied Petroleum Gases,63100,61600,65600,1,0.3,3,0.1,0.03,0.3
Ethane,61600,56500,68600,1,0.3,3,0.1,0.03,0.3
Naphtha,73300,69300,76300,3,1.0,10,0.6,0.2,2.0
Bitumen,80700,73000,89900,3,1.0,10,0.6,0.2,2.0
Lubricants,73300,71900,75200,3,1.0,10,0.6,0.2,2.0
Petroleum Coke,97500,82900,115000,3,1.0,10,0.6,0.2,2.0
Refinery Feedstocks,73300,68900,76600,3,1.0,10,0.6,0.2,2.0
Natural Gas,56100,54300,58300,1,0.3,3,0.1,0.03,0.3
Anthracite,98300,94600,101000,300,100.0,900,1.5,0.5,5.0
Coking Coal,94600,87300,101000,300,100.0,900,1.5,0.5,5.0
Other Bituminous Coal,94600,89500,99700,300,100.0,900,1.5,0.5,5.0
Sub-Bituminous Coal,96100,92800,100000,300,100.0,900,1.5,0.5,5.0
Lignite,101000,90900,115000,300,100.0,900,1.5,0.5,5.0
Oil Shale and Tar Sands,107000,90200,125000,300,100.0,900,1.5,0.5,5.0
Brown Coal Briquettes,97500,87300,109000,10,3.0,30,1.5,0.5,5.0
Patent Fuel,97500,87300,109000,10,3.0,30,1.5,0.5,5.0
Coke Oven Coke and Lignite Coke,107000,95700,119000,10,3.0,30,1.5,0.5,5.0
Gas Coke,107000,95700,119000,1,0.3,3,0.1,0.03,0.3
Coal Tar,80700,68200,95300,10,3.0,30,1.5,0.5,5.0
Gas Works Gas,44400,37300,54100,1,0.3,3,0.1,0.03,0.3
Coke Oven Gas,44400,37300,54100,1,0.3,3,0.1,0.03,0.3
Blast Furnace Gas,260000,219000,308000,1,0.3,3,0.1,0.03,0.3
Oxygen Steel Furnace Gas,182000,145000,202000,1,0.3,3,0.1,0.03,0.3
Municipal Wastes (non-biomass),91700,73300,121000,30,10.0,100,4.0,1.5,15.0
Industrial Wastes,143000,110000,183000,30,10.0,100,4.0,1.5,15.0
Waste Oils,73300,72200,74400,30,10.0,100,4.0,1.5,15.0
Peat,106000,100000,108000,1,0.3,3,1.5,0.5,5.0
Wood/Wood Waste,112000,95000,132000,30,10.0,100,4.0,1.5,15.0
Sulphite lyes (Black Liquor),95300,80700,110000,3,1.0,18,2.0,1.0,21.0
Municipal Wastes (biomass),100000,84700,117000,30,10.0,100,4.0,1.5,15.0
Other Primary Solid Biomass,100000,84700,117000,30,10,100,4,1.5,15
Landfill Gas,54600,46200,66000,1,0.3,3,0.1,0.03,0.3
Sludge Gas,54600,46200,66000,1,0.3,3,0.1,0.03,0.3
Other Biogas,54600,46200,66000,1,0.3,3,0.1,0.03,0.3
