Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
AT.CAED/9008390413739.FACILITY,AT.EEA/20000.00006.FACILITY
AT.CAED/9008390446737.FACILITY,AT.EEA/20000.00236.FACILITY
AT.CAED/9008390461860.FACILITY,AT.EEA/20000.00320.FACILITY
AT.CAED/9008390484586.FACILITY,AT.EEA/20000.00631.FACILITY
AT.CAED/9008390484777.FACILITY,AT.EEA/20000.00207.FACILITY
AT.CAED/9008390508701.FACILITY,AT.EEA/20000.00394.FACILITY
AT.CAED/9008390537091.FACILITY,AT.EEA/20000.00377.FACILITY
AT.CAED/9008390628973.FACILITY,AT.EEA/20000.00690.FACILITY
AT.CAED/9008390951965.FACILITY,AT.EEA/20000.00532.FACILITY
AT.CAED/9008390972700.FACILITY,AT.EEA/20000.00340.FACILITY
AT.CAED/9008390973059.FACILITY,AT.EEA/20000.00291.FACILITY
AT.CAED/9008390973448.FACILITY,AT.EEA/20000.00443.FACILITY
AT.CAED/9008390973882.FACILITY,AT.EEA/20000.00154.FACILITY
AT.CAED/9008390975220.FACILITY,AT.EEA/20000.00028.FACILITY
AT.CAED/9008390975244.FACILITY,AT.EEA/20000.00052.FACILITY
AT.CAED/9008390975725.FACILITY,AT.EEA/20000.00019.FACILITY
AT.CAED/9008390975848.FACILITY,AT.CAED/9008390973578.FACILITY
AT.CAED/9008391008361.FACILITY,AT.EEA/20000.00796.FACILITY
AT.CAED/9008391174516.FACILITY,AT.EEA/20000.00402.FACILITY
AT.CAED/9008391215646.FACILITY,AT.EEA/20000.00533.FACILITY
AT.CAED/9008391215660.FACILITY,AT.EEA/20000.00508.FACILITY
AT.CAED/9008391215745.FACILITY,AT.EEA/20000.00197.FACILITY
AT.CAED/9008391474098.FACILITY,AT.EEA/20000.00876.FACILITY
AT.CAED/9008391745020.FACILITY,AT.EEA/20000.00033.FACILITY
AT.CAED/9008392209743.FACILITY,AT.CAED/9008390973561.FACILITY
AT.CAED/9008392409044.FACILITY,AT.CAED/9008390976586.FACILITY
AT.EEA/20000.00545.FACILITY,AT.EEA/20000.00141.FACILITY
BE.EEA/W301.FACILITY,BE.EEA/W367.FACILITY
BE.EEA/W305.FACILITY,BE.EEA/W364.FACILITY
BE.EEA/W312.FACILITY,BE.EEA/W367.FACILITY
BE.EEA/W337.FACILITY,BE.EEA/W368.FACILITY
BE.EEA/W359.FACILITY,BE.EEA/W282.FACILITY
BE.EEA/W361.FACILITY,BE.EEA/W333.FACILITY
BE.EEA/W379.FACILITY,BE.EEA/W330.FACILITY
BE.EEA/W403.FACILITY,BE.EEA/W380.FACILITY
BE.EEA/W407.FACILITY,BE.EEA/W367.FACILITY
BE.EEA/W408.FACILITY,BE.EEA/W280.FACILITY
BE.EEA/W409.FACILITY,BE.EEA/W333.FACILITY
BE.EEA/W410.FACILITY,BE.EEA/W380.FACILITY
BE.EEA/W438.FACILITY,BE.EEA/W343.FACILITY
BE.EEA/W448.FACILITY,BE.EEA/W334.FACILITY
BE.EEA/W449.FACILITY,BE.EEA/W380.FACILITY
BE.EEA/W460.FACILITY,BE.EEA/W334.FACILITY
BE.EEA/W461.FACILITY,BE.EEA/W380.FACILITY
BE.WA/025010000.FACILITY,BE.EEA/W166.FACILITY
BE.WA/218010000.FACILITY,BE.WA/219010000.FACILITY
BG.CAED/003000029.FACILITY,BG.EEA/03000029.FACILITY
BG.CAED/007000016.FACILITY,BG.CAED/010000041.FACILITY
BG.CAED/010000069.FACILITY,BG.CAED/010000050.FACILITY
BG.CAED/010000070.FACILITY,BG.CAED/010000050.FACILITY
BG.CAED/013000002.FACILITY,BG.CAED/013001002.FACILITY
BG.CAED/015000009.FACILITY,BG.CAED/004000023.FACILITY
BG.CAED/015000045.FACILITY,BG.CAED/010000050.FACILITY
BG.CAED/015000046.FACILITY,BG.CAED/015000006.FACILITY
BG.CAED/015000047.FACILITY,BG.CAED/010000050.FACILITY
BG.CAED/017000023.FACILITY,BG.CAED/011000009.FACILITY
BG.EEA/10000039.FACILITY,BG.EEA/10000007.FACILITY
CH.CAED/000000064.Facility,CH.EEA/18.FACILITY
CH.CAED/000000206.Facility,CH.EEA/224.FACILITY
CH.CAED/000000243.Facility,CH.CAED/000000244.Facility
CY.CAED/0405160000.FACILITY,CY.EEA/48.FACILITY
CY.CAED/0415340000.FACILITY,CY.EEA/48.FACILITY
CY.CAED/0965560000.FACILITY,CY.EEA/48.FACILITY
CZ.EEA/CZ01155176.FACILITY,CZ.EEA/CZ50693164.FACILITY
CZ.EEA/CZ35060620.FACILITY,CZ.EEA/CZ46434364.FACILITY
